N, k, lp, covar/lp, R_g, Var/R_g, lb
32, 0.25, 1.3295719302109585, 0.009312984470855984, 3.776321186665442, 0.10678949284895252, 0.9475601105858863
32, 0.5, 1.3440895372645054, 0.01201914264755492, 3.8918903812780274, 0.11552113743367459, 0.9462944755904236
32, 1, 1.5240447564648618, 0.007586108670318989, 3.8014484681037333, 0.14856236732483527, 0.9463848046780993
32, 2, 2.2651640596277973, 0.004887030946895143, 4.271628157081735, 0.1388843212838141, 0.9465941052591401
32, 4, 3.7508154951430033, 0.013330037905773641, 5.169756524976639, 0.14712005198619799, 0.9458619290419712
32, 8, 7.331230082488881, 0.004664570568166017, 6.2182386657606195, 0.13502298985047592, 0.9445016965165954
32, 16, 13.310973162815785, 0.002049491135736383, 7.2323483289554975, 0.041392294398922544, 0.9468417316394613
32, 32, 34.20508558851266, 0.012426176935413423, 7.928665465592382, 0.015442272241502209, 0.9460194499180828
32, 64, 69.17177448582105, 0.012241035380150547, 8.340733522250527, 0.004943509714418028, 0.9463627763204517
32, 128, 92.42145291299911, 0.04548176560623243, 8.496089360119287, 0.0012640390500364598, 0.9452547970009371
64, 0.25, 1.2539896119134364, 0.006736548509171178, 5.88595523480932, 0.26397339509124695, 0.9464149032816854
64, 0.5, 1.392695030483416, 0.005867477868561469, 5.956183505579997, 0.20716915215029258, 0.9469042972036953
64, 1, 1.5268643086428284, 0.010556109156468827, 5.93994311832199, 0.10404767386312032, 0.9450727783199908
64, 2, 2.417430582164512, 0.016271115886758288, 7.168997974756711, 0.11996482554791962, 0.9467836949507166
64, 4, 3.240935387430143, 0.017603759774699523, 6.961947548697025, 0.22717530494740526, 0.9453811974764883
64, 8, 5.614950123002369, 0.041420993708896674, 8.996737152506252, 0.2163895139261076, 0.9467593441891604
64, 16, 51.212390952043364, 0.13726305261559812, 14.462284692034608, 0.0331955391986202, 0.9458914937757751
64, 32, 46.07670687126379, 0.028556979436995453, 15.1114031710327, 0.03637370345930109, 0.9461414550556156
64, 64, 50.392888774207144, 0.0006420260124576782, 15.581052152905976, 0.03392243197363349, 0.9452969773605585
64, 128, 90.28489208362345, 0.024416709621478468, 16.566952288982808, 0.015991942094570385, 0.9467205903903241
128, 0.25, 1.4843612650980247, 0.011340742418106897, 11.380636900248813, 1.0666821118265242, 0.9459802507642712
128, 0.5, 1.300249209027381, 0.004232889765999092, 7.583166253157818, 0.08030194619280871, 0.946463810301698
128, 1, 1.581816427356173, 0.004627725249560622, 9.19077780270693, 0.10233119046987155, 0.9461649465377743
128, 2, 2.268371995098859, 0.004165080960113927, 10.153212862589582, 0.20456961966014933, 0.9468268820470814
128, 4, 4.349133214752852, 0.02075938837601127, 12.005285057351422, 0.21987265137706188, 0.9449874076871133
128, 8, 6.986393017380348, 0.07399646849569254, 12.890267898676075, 0.18183629238347201, 0.9462204777055612
128, 16, 11.573087844692878, 0.26398355949815594, 16.649107797572153, 0.15964116162703196, 0.9452423374737856
128, 32, 14.592360834436697, 0.10824401614664697, 20.785196058900485, 0.1535890021207668, 0.9458059972825869
128, 64, 15.167367994011943, 0.6811934836906891, 20.451377476536017, 0.040791479674340235, 0.9465919105679361
128, 128, 21.171025158250746, 0.7452854762114063, 24.846803422594313, 0.08971705803478301, 0.9465572457149373
256, 0.25, 12.665070747679886, 0.12772767457866271, 36.2156303163642, 1.4422368360779516, 0.947329272381318
256, 0.5, 1.5519111586580658, 0.014886809549022289, 21.863389585364935, 0.4076445239368809, 0.9464802554327414
256, 1, 1.7570479863817599, 0.004900823485070342, 18.527209944144037, 0.3244102530805551, 0.9462211195408803
256, 2, 2.4413527254468415, 0.006699049411796907, 20.14050978136789, 0.02596758732679379, 0.9463002178328271
256, 4, 3.5345663376846823, 0.009046721004195882, 20.6329067932708, 0.4416923670980078, 0.9459121225577558
256, 8, 7.046525966135835, 0.01993652780250614, 25.31436346301664, 0.11207448809207086, 0.9460113789940902
256, 16, 9.431406178476117, 0.09315123800926546, 24.259755004537645, 0.0522384709114826, 0.9463636618433244
256, 32, 12.210072968025106, 0.15887931117283774, 28.341558501373825, 0.06591722067060089, 0.9459430453044485
256, 64, 15.343400660039618, 0.20419915758721385, 30.76449332898088, 0.1876760117716774, 0.9451921548006978
256, 128, 25.76855522307719, 0.18722652049286506, 36.54885990144189, 0.03011788072692283, 0.9461610777867399
512, 0.25, 204.69641900398886, 0.15119519667724363, 97.1512311648976, 1.5182057811221248, 0.9478916960343496
512, 0.5, 4.829547156030909, 0.10985997664750564, 71.3596877719654, 0.4103527069474291, 0.9468662153608568
512, 1, 2.340936780768174, 0.039450676796286936, 58.1266843662098, 0.05106817483087562, 0.9458824770208332
512, 2, 3.1993666686665496, 0.04151521511814844, 56.40098549991963, 0.007820250477471537, 0.9463113020654447
512, 4, 4.795208140250742, 0.04508856903440553, 55.69812641932826, 0.023849046255022953, 0.946042452487713
512, 8, 7.660546336777283, 0.03564493023548127, 56.41464062285732, 0.046482225126173546, 0.9459304301851696
512, 16, 13.203010845610667, 0.10259785133087046, 59.14286233221053, 0.004602691453890733, 0.9461192386771151
512, 32, 15.271709932749072, 0.11200852166513509, 59.5566276875112, 0.0155441968017224, 0.9457064725767806
512, 64, 18.58865397365371, 0.09052809325304172, 61.31340325503109, 0.006900798449713877, 0.9459680542137836
512, 128, 26.52363099747056, 0.18455686069907107, 63.62826167893804, 0.04322077384075757, 0.9460745070209363
