N, k, lp, lp_sd, R_g, R_g_sd, lb
32, 0.25, 1.2011307052329856, 0.060757799091705436, 3.5836289033652022, 0.6034733183259864, 0.9467867255288827
32, 0.5, 1.2893629226990686, 0.05480358515124383, 3.638478667613952, 0.6582500632538238, 0.9464160189256055
32, 1, 1.5211258541913455, 0.04791672861800601, 3.8418115900914462, 0.7089038497957243, 0.9463068218920773
32, 2, 2.0896265208421574, 0.03827643059200658, 4.220556853419213, 0.7102071815078149, 0.9458063426797294
32, 4, 3.6091773852819733, 0.04076525476647629, 5.043778568068587, 0.8992202663097719, 0.9464581805702298
32, 8, 6.274639050337467, 0.08412623929693555, 6.026385025123749, 0.9140564945789066, 0.9464752526051142
32, 16, 13.679038220450488, 0.09114848956688726, 7.177925153266872, 0.6874442336659841, 0.9466573024109035
32, 32, 29.168905795476196, 0.12061299524174393, 7.935365751252707, 0.38239098417793915, 0.9456573772390044
32, 64, 57.22955395479804, 0.22087925907820005, 8.307038394828112, 0.22420753484858225, 0.9463362246484434
32, 128, 111.0087253129761, 0.373734019991107, 8.506764844494493, 0.12436771106397893, 0.9464501570341469
64, 0.25, 1.2359879985916211, 0.04513751436339138, 5.400775449795148, 1.1176312334093574, 0.9465214520257418
64, 0.5, 1.3669262522377605, 0.04248300648952425, 5.5416304450502185, 1.0208109606297413, 0.9464766959631691
64, 1, 1.6444699156270197, 0.05995188607036264, 6.286310772858491, 1.1848200675299054, 0.9460938796065362
64, 2, 2.169293087600089, 0.04570125180209977, 6.5044294776463225, 1.2453427791639382, 0.9463306331392011
64, 4, 4.017803911018124, 0.06107795241394481, 8.269879279170304, 1.4861192604333078, 0.9459583176790319
64, 8, 7.261792667610399, 0.07349271826900675, 10.211137144640022, 1.7616280196961056, 0.946445982399306
64, 16, 13.715412951069162, 0.17088820118681367, 12.320114569197054, 1.6898988228631562, 0.9461949014408332
64, 32, 22.450288383758757, 0.5410089249287976, 13.89805748474775, 1.4149260777083914, 0.9458724931395699
64, 64, 61.30071022018186, 0.1531693942876889, 15.892135405762716, 0.6460958233945674, 0.9454067596104931
64, 128, 130.94412410553898, 0.31852869097664244, 16.697957457730276, 0.396735197967534, 0.9461782871190438
128, 0.25, 1.290083347814704, 0.04422447929023014, 9.004467927530072, 1.5380269080487365, 0.9465614470736218
128, 0.5, 1.3136423249331886, 0.035449837491805664, 8.478118084135938, 1.581210341136715, 0.9465930929757168
128, 1, 1.5852312591436297, 0.03204244379090467, 8.690801940021316, 1.5671804051332674, 0.9463747881889154
128, 2, 2.1927368563239154, 0.03846249710415858, 10.256934205905488, 1.9031335825975697, 0.9463329586587629
128, 4, 3.523484898449062, 0.05503882443599028, 10.238558698118155, 2.1947913534138026, 0.9459017120617397
128, 8, 6.500915202851663, 0.08842760867021805, 14.235578892646497, 2.170069725493666, 0.9458838001988288
128, 16, 18.09196654378493, 0.43428817216490684, 22.581210773347983, 2.653100213455975, 0.9460373733169717
128, 32, 18.802232049165692, 0.7105272348050984, 20.97861296472526, 4.4931259068882134, 0.9458614020468078
128, 64, 98.94776668855208, 2.065102002296436, 30.793871977600766, 1.381511250588034, 0.9460651907274629
128, 128, 139.36246646782973, 0.42917814222268175, 32.10977488845356, 1.3093811238956683, 0.946120520663791
256, 0.25, 1.2892687228604096, 0.03165153253766556, 13.857889603234886, 1.7839727261563472, 0.9463350690386212
256, 0.5, 1.3469227744572907, 0.027353219205019586, 11.673609163615977, 1.612943374570662, 0.9464303439501128
256, 1, 1.6495868857340117, 0.02867634027447731, 12.943525212513467, 1.8029745675036564, 0.946384452176913
256, 2, 2.1865663192505185, 0.026796344209265816, 14.859687239701119, 2.5486825108042477, 0.946360175250158
256, 4, 3.5197437847672672, 0.022254460214733783, 16.38323450812858, 1.3139811209439074, 0.9458832756918749
256, 8, 6.989148486901509, 0.061944916668727236, 24.085860244468954, 2.722812629821011, 0.9456921574119549
256, 16, 14.337926850793833, 0.3985844402682205, 25.641226853785106, 3.4800164846620225, 0.9458503576391503
256, 32, 15.105206937925239, 0.7570056429288192, 27.338280837608615, 1.7711036299506215, 0.9461172917153473
256, 64, 37.333986378302825, 1.0162059299216306, 42.79233325106962, 3.2993202802599475, 0.9459217945925587
256, 128, 34.78837421922352, 1.8409040331291742, 39.56195013033395, 2.1287938966261177, 0.9459335371041117
512, 0.25, 1.4221210654126006, 0.09461435478032044, 41.9392485354779, 6.181706904205903, 0.9465914222688254
512, 0.5, 1.4098684072156884, 0.03932710637073742, 28.843869649735957, 3.1297498071915375, 0.9464251031529437
512, 1, 1.7314957292223037, 0.06824255754523352, 34.69907582477043, 5.929747440151647, 0.9461672627209794
512, 2, 2.5030644962744155, 0.11943881750055098, 44.75962167949549, 3.7455194927245836, 0.946090633899768
512, 4, 4.192602468969677, 0.13777953552582967, 42.665145581944564, 2.6083232685791726, 0.9458827185538871
512, 8, 8.894076007903406, 0.41148607376405666, 59.37200588275413, 4.571544573265616, 0.9457673121462155
512, 16, 15.61378203012885, 0.41532869006254924, 62.168699541038656, 1.6500430365724181, 0.946021816860204
512, 32, 26.41219908370516, 0.7605218540639174, 74.35250891155927, 4.959573810371744, 0.9458954917186402
512, 64, 38.88823241801514, 1.2329865325766796, 72.5821547940023, 4.559598548806577, 0.9459169485051925
512, 128, 42.98464466462033, 1.77160028803099, 69.6728335312409, 2.2044047675769654, 0.94594926338704
