# Fix print output for fix myRG2file
290000 7.2112539866171
300000 7.42455648758176
310000 8.21380540134372
320000 7.16005841620756
330000 6.68756483706237
340000 6.93013121044118
350000 7.14778222006278
360000 7.24450310297298
370000 7.10471006608773
380000 8.64868613213921
390000 8.11225825858931
400000 7.85217986181574
410000 8.85734510264988
420000 7.7097020225507
430000 8.12738151211413
440000 7.26941872466914
450000 6.80029840976671
460000 8.4632332364949
470000 7.43878619210566
480000 7.02257093455253
490000 5.35357607417861
500000 7.28406174707607
510000 8.76945731022912
520000 8.71948029860232
530000 8.14317205318796
540000 7.46634898300408
