# Fix print output for fix mythermofile
30000 1.04329207187407 0.0196359707834775
40000 0.91539976156526 0.0124314106285532
50000 1.01067785458528 0.0156066160806442
60000 0.932809294350465 0.0152134529342334
70000 0.96625138505227 0.0667137253294073
80000 0.932326062657722 0.00958293432255383
90000 1.01065332479211 0.0046672581771119
100000 1.14496315142267 0.0314435181447771
110000 0.890679295854022 0.0405757713863416
120000 1.10275198274326 0.0643495588404527
130000 1.10146947362824 0.0339233477223068
140000 1.06431389124194 0.0320803855450606
150000 1.18494960905664 0.0353945280555534
160000 1.00798271683354 0.00252542836564461
170000 1.03355666776085 0.00798100741268603
180000 0.867012814953073 0.00503030821423186
190000 0.998473937537878 0.0154771179964882
200000 0.99505390122658 0.0122770491583029
210000 1.11820326156117 0.0129246092031453
220000 1.04066294952281 0.0384146028261755
230000 0.903094361267093 0.0214438790596266
240000 1.1423329117119 0.00298708657423127
250000 0.99846555818014 0.00903396851671874
260000 1.09274176247175 0.00187428929520268
270000 1.08868150848714 0.0251579281519938
280000 0.991726257220128 0.00477140690868892
